parent_id,child_id,qty_per,uom,valid_from,valid_to
FG-AB900,SA-BREW01,1,EA,,
FG-AB900,SA-HOUS01,1,EA,,
FG-AB900,SA-UI01,1,EA,,
FG-AB900,CP-PORTA,1,EA,,
FG-AB900,CP-CORD,1,EA,,
FG-AB900,CP-MANL,1,EA,,
SA-BREW01,CP-PUMP15,1,EA,,
SA-BREW01,SA-BOILER,1,EA,,
SA-BREW01,CP-VALV3,1,EA,,
SA-BREW01,CP-GASK-S,2,EA,,
SA-BOILER,CP-HEAT12,1,EA,,
SA-BOILER,CP-THERM,2,EA,,
SA-BOILER,CP-GASK-S,3,EA,,
SA-BOILER,RM-STEEL,0.6,KG,,
SA-HOUS01,CP-PANL-L,2,EA,,
SA-HOUS01,CP-SCRM4,8,EA,,
CP-PANL-L,RM-ABS,0.4,KG,,
SA-UI01,CP-PCB01,1,EA,,
SA-UI01,CP-DISP1,1,EA,,2026-06-30
SA-UI01,CP-DISP2,1,EA,2026-07-01,
SA-UI01,CP-SCRM4,4,EA,,
CP-PORTA,CP-GASK-S,1,EA,,
FG-AB600,SA-UI01,1,EA,,
FG-AB600,CP-PUMP15,1,EA,,
FG-AB600,CP-BODY6,1,EA,,
FG-AB600,CP-CORD,1,EA,,
FG-AB600,CP-MANL,1,EA,,
